순번,페이즈,작업ID,작업명,목표,선행작업,실행도구,추천_프롬프트(복붙용),자동화_스킬,병렬가능,완료기준(DoD),난이도
1,준비,S-01,백엔드 develop 최신화,프론트가 바라볼 서버를 최신으로,-,터미널,"cd ../bubli-backend && git checkout develop && git pull origin develop 한 뒤, docker compose up -d 와 ./gradlew bootRun 으로 8080이 뜨는지 확인해줘",-,N,8080 헬스 응답 OK,하
2,준비,S-02,프론트 실행 확인,개발 환경이 도는지 확인,S-01,터미널,"bubli-frontend에서 npm install 후 npm run dev(:3000), npm run storybook(:6006)이 정상으로 뜨는지 확인하고 안 뜨면 원인을 고쳐줘",-,N,3000·6006 정상,하
3,P0,S-03,컴포넌트 인벤토리 감사,스토리 144개를 완료/미완료/점검용으로 분류,S-02,에이전트,"bubli-frontend/src 전체를 읽고, 모든 .stories.tsx를 IA(03_IA-Screen-Structure)와 대조해서 docs/component-inventory.csv를 만들어줘. 컬럼: 스토리ID, feature, IA화면, 분류(완료/미완료/점검용), 라우트마운트Y/N, 4상태Y/N, 비고. 삭제는 하지 말고 분류만.",-,N,component-inventory.csv 생성,중
4,P0,S-04,누락 화면 확정,IA에 있는데 없는 화면만 추림,S-03,에이전트,"위 인벤토리에서 미완료로 분류된 것 중 IA 잎 화면을 표로 정리해줘. 개발계획 2.3의 누락 5종(캘린더, 에이전트 제안함, 대시보드 카드, WBS 4보기, 위젯 8종)과 비교해 빠진 게 더 있는지 확인",-,N,누락 목록 확정,하
5,P0,S-05,캘린더 화면 골격,/app/calendar 신규 화면,S-04,에이전트(바이브),"기준문서(CLAUDE.md, PROJECT_STRUCTURE.md) 읽고 features/calendar에 월간 일정 화면 골격을 만들어 /app/calendar 라우트에 마운트해줘. 색은 8장 토큰만, 이모지 금지, 빈/로딩/에러/정상 4상태 목데이터, components/ui 재사용. 산출: 컴포넌트+스토리, typecheck 통과",bubli-screen-scaffold,Y,라우트 클릭됨+스토리+4상태,중
6,P0,S-06,에이전트 제안함 골격,후보 승인 인박스 화면,S-04,에이전트(바이브),"features/agent에 '제안함'(요구사항/WBS/TODO/질문/초안 후보를 승인·수정·보류·삭제) 화면 골격을 만들어 /work 탭과 전역 제안함에 마운트. 후보와 확정을 시각적으로 구분. 4상태 목데이터, 토큰만, 스토리 포함",bubli-screen-scaffold,Y,제안함 클릭됨+4상태,중
7,P0,S-07,대시보드 카드 조립,오늘TODO/마감/확인필요/타이머/룸요약,S-04,에이전트(바이브),"features/dashboard에서 대시보드를 오늘 내 TODO, 가까운 마감, 확인 필요 항목, 진행 중 타이머, 프로젝트룸별 작업 요약 카드로 조립. /app에 마운트, 목데이터 4상태, 토큰만",bubli-screen-scaffold,Y,대시보드 5카드 보임,중
8,P0,S-08,WBS 4보기 토글,트리/칸반/타임라인/간트,S-04,에이전트(바이브),"features/wbs에 WBS 트리·칸반·타임라인·간트 보기를 보기 토글 하나로 묶어 /work에 마운트. dnd-kit는 이미 설치됨. 목데이터, 4상태, 토큰만",bubli-screen-scaffold,Y,4보기 토글 동작,상
9,P0,S-09,위젯 8종 버블 골격,TODO/에이전트/소통/타이머/메모/일정/자료/알림,S-04,에이전트(바이브),"features/widget에 위젯 버블 8종 골격을 만들어 /app/desktop/widgets에 배치. 버블은 투명 유리 톤, 최소화/고스트 상태 포함. 목데이터, 토큰만, 스토리",bubli-screen-scaffold,Y,8버블 표시,중
10,P0,S-10,점검용 패널 라벨링,삭제 말고 태그만,S-03,에이전트,"인벤토리에서 점검용으로 분류된 정책/검증/API/복구 패널을 실제 라우트 화면에서 떼되 Storybook에는 남기고, 스토리 제목/태그에 [점검용] 표기를 붙여줘. 삭제 금지",-,N,화면에서 분리+스토리 잔존,중
11,P0,S-11,1차 추출 완료 선언,완료 기준 5개 충족 확인,S-05~S-10,에이전트,개발계획 2.1의 완료기준 5개를 인벤토리로 점검해 충족되면 README에 '1차 컴포넌트 추출 완료(날짜)' 한 줄과 근거 표를 추가,-,N,README에 완료 선언,하
12,공통,S-12,공통 UI 1벌,Button/Input/Card/Panel/Pill/Tab/Toggle/Modal/Bubble,S-02,에이전트(바이브),"components/ui에 Button,Input,Card,Panel,Pill,Tab,Toggle,Modal,Bubble을 CLAUDE.md 8장 토큰으로 만들고 각 스토리 작성. 유리/버블 질감은 여기서 한 번만 구현. 하드코딩 색 0개. 이건 다른 화면들의 선행이라 단독으로 먼저 끝낸다",-,N,"9개 컴포넌트+스토리, 색0",중
13,P1,S-13,대시보드 4상태,화면 끝까지 보이게,S-12,에이전트(바이브),대시보드를 components/ui로 재조립하고 빈/로딩/에러/정상 4상태를 붙여. API는 아직 목. 토큰만,bubli-screen-scaffold,Y,4상태 클릭됨,중
14,P1,S-14,개인 자료보드 4상태,파일목록/상세/통계카드,S-12,에이전트(바이브),"features/resources 자료보드를 목록+상세패널+통계카드+검색창 골격으로 조립, 4상태. 검색창은 자리만(추후 Tauri 연결)",bubli-screen-scaffold,Y,자료보드 4상태,중
15,P1,S-15,프로젝트룸 4상태,목록/생성/상세,S-12,에이전트(바이브),"features/project-room 목록·생성 플로우(자료업로드→추출확인→후보→설정)·상세를 골격으로, 4상태",bubli-screen-scaffold,Y,룸 흐름 클릭됨,상
16,P1,S-16,작업판 4상태,WBS/TODO 통합 화면,"S-08,S-12",에이전트(바이브),"/work에서 WBS 4보기+TODO를 한 화면으로 조립, 4상태",bubli-screen-scaffold,Y,작업판 4상태,상
17,P1,S-17,소통 4상태,친구/1:1/룸챗/보이스,S-12,에이전트(바이브),"features/communication 친구·요청·1:1·룸채팅·보이스방·명령어 골격, 4상태. STOMP/LiveKit은 자리만",bubli-screen-scaffold,Y,소통 4상태,상
18,P1,S-18,설정 4상태,프로필/언어/알림/삭제/폴더/활동동의,S-12,에이전트(바이브),"features/settings 프로필·언어·알림·데이터삭제·관리폴더·활동동의 골격, 4상태",bubli-screen-scaffold,Y,설정 4상태,중
19,P1,S-19,전 화면 통과 검수,어디서도 안 깨짐,S-13~S-18,서브에이전트,로그인부터 대시보드·룸·자료보드·작업판·소통·일정·설정·위젯까지 클릭 경로를 점검하고 깨지는 화면/콘솔에러를 표로 보고해줘,-,N,전 경로 무오류,중
20,P2,S-20,토큰 정리,globals.css 8034줄→토큰화,S-19,에이전트(바이브),styles/globals.css를 styles/tokens.css(CLAUDE.md 8장 값)와 얇은 전역스타일로 분해하고 Tailwind v4 @theme로 노출. 기존 화면이 안 깨지게. 새 색 금지,-,N,토큰 분리+빌드 그린,상
21,P2,S-21,기본 컴포넌트 유리화,components/ui 질감 재구현,S-20,에이전트(바이브),"components/ui 9종을 v20 유리·파스텔 톤(투명감·광택)으로 스타일만 교체하고 스토리 갱신. 구조·props 유지, 하드코딩 색 0",bubli-glassify,N,스토리북 통일 톤,중
22,P2,S-22,도메인 카드/버블,자료/후보/작업/채팅/위젯 버블,S-21,에이전트(바이브),components/domain·bubbles의 자료카드·후보카드·작업카드·채팅버블·위젯버블을 새 기본 컴포넌트로 재구현,bubli-glassify,Y,도메인 카드 통일,중
23,P2,S-23,화면 재조립(병렬),대시보드/자료보드/작업판/소통/일정/설정/위젯,S-22,서브에이전트(병렬),각 화면을 새 컴포넌트로 재조립. feature별로 갈라서 동시에. 같은 파일 동시수정 금지,bubli-glassify,Y,전 화면 v20 톤,상
24,P2,S-24,디자인 QA 교차검수,하드코딩색0·4상태·규칙,S-23,서브에이전트,"전 화면 diff를 읽고 하드코딩 색, 이모지, 4상태 누락, /app 밖 업무화면 위반을 점검해 표로 보고",-,N,위반 0,중
25,PX,T-01,Cargo 의존성+등록,Tauri 빌드 준비,S-02,에이전트(바이브),"Bubli_타우리_구현스펙 1장대로 Cargo.toml에 rusqlite(bundled),notify,walkdir,sha2,calamine,zip,quick-xml,pdf-extract,encoding_rs,uuid,chrono,reqwest와 dialog/fs/notification 플러그인을 추가하고 lib.rs에 등록. cargo check 통과",-,N,cargo check 그린,중
26,PX,T-02,SQLite 스키마,local DB 초기화,T-01,에이전트(바이브),구현스펙 2장 schema.sql을 만들고 db.rs에서 app_data_dir/bubli.db 연결+마이그레이션+WAL. check_local_sqlite_integrity 커맨드,-,N,DB 생성+integrity OK,중
27,PX,T-03,폴더 선택/스캔,managed_folders+local_files,T-02,에이전트(바이브),select_managed_folder(다이얼로그)와 scan_managed_folder(walkdir+sha256 head+upsert+이벤트적재)를 구현스펙 5.1대로 구현하고 commands.ts 타입과 일치시켜,-,N,폴더 고르면 파일 적재,상
28,PX,T-04,파일명 검색,search_local_files(이름),T-03,에이전트(바이브),FTS5 name 색인과 search_local_files(snippet→matchedText)를 구현. 프론트 resource-search-command에서 IPC 호출로 즉시 결과,-,N,파일명 즉시 검색,중
29,PX,T-05,본문 추출,txt/md/docx/pdf,T-03,에이전트(바이브),"extract 모듈(plain=encoding_rs, docx=zip+quick-xml, pdf=pdf-extract)을 구현스펙 5.1대로. 스캔 후 백그라운드 큐로 추출→FTS content upsert",-,N,본문 색인됨,상
30,PX,T-06,한국어 trigram 확인,계약/계약서/계약금 매칭,T-05,에이전트,"FTS5 trigram으로 '계약' 검색 시 '계약서','계약금'이 걸리는지 샘플로 검증하고 안 되면 토크나이저 옵션 조정",-,N,변형어 매칭,중
31,PX,T-07,실시간 감시,notify watcher,T-05,에이전트(바이브),"watch_managed_folder를 notify+debouncer로 구현, 추가/수정/삭제→local_file_events+재색인+app.emit. 프론트 managed-folder에서 진행률·상태 표시",-,Y,파일변경 자동반영,상
32,PX,T-08,활동 인식,read_activity_context+동의,T-02,에이전트(바이브),"x-win으로 read_activity_context 구현, 30초 상주 캡처를 local_activity_buffer에 누적. user_privacy_consents(ACTIVITY_CONTEXT) 동의 게이트. mac 접근성 권한 안내",-,Y,동의 후 활동 누적,상
33,PX,T-09,outbox 동기화,flush_sync_outbox→localsync,T-03,에이전트(바이브),"sync_enabled 폴더 이벤트만 outbox 적재, flush_sync_outbox가 idempotency_key로 POST /api/local-file-events/sync 전송(reqwest). 원본 파일은 안 보냄",-,N,변경분 서버 반영,상
34,PX,T-10,2계층 검색 병합,로컬+서버 의미검색,"T-04,S-14",에이전트(바이브),"자료보드 검색을 로컬 IPC(즉시)+서버 /api/ai/search-resource(뒤이어) 병합으로. 로컬엔 '내PC·안올라감' 배지, 결과에 출처+스니펫. react-query 사용",-,N,점진 병합 동작,상
35,P3,S-25,API 타입 생성,.http→types/api,S-01,에이전트,bubli-backend/docs/http/*.http 9개를 읽고 types/api와 feature별 요청/응답 타입 초안을 ApiResponse 봉투 기준으로 생성. 임시타입 주석,bubli-api-bind,Y,타입 초안 생성,중
36,P3,S-26,인증 연동,로그인/세션,"S-25,S-20",에이전트(바이브),"features/auth를 auth.http 기준으로 연결(구글 OAuth, 토큰저장, 내정보). 로딩/에러 UI 연결. apiRequest 사용",bubli-api-bind,N,실제 로그인 동작,상
37,P3,S-27,자료/룸 연동,resources/project-rooms,S-26,에이전트(바이브),features/resources·project-room을 resource.http·project-rooms.http로 연결(목록·업로드 multipart·상세·요약·관련). 로딩/빈/에러 연결,bubli-api-bind,Y,자료 CRUD 동작,상
38,P3,S-28,작업 연동,WBS/TODO,S-27,에이전트(바이브),features/wbs·todo를 work.http로 연결,bubli-api-bind,Y,작업 CRUD 동작,상
39,P3,S-29,소통 연동,STOMP/LiveKit,S-27,에이전트(바이브),"communication 채팅을 STOMP로, 보이스는 서버 토큰받아 LiveKit 입장. key/secret 클라 노출 금지",bubli-api-bind,Y,채팅/보이스 동작,상
40,P3,S-30,에이전트 후보 연동,agent_jobs/suggestions,S-27,에이전트(바이브),agent.http로 분석요청→job상태→제안함 후보 표시→승인시 확정 반영. 후보/확정 UI 구분 유지,bubli-api-bind,Y,후보 흐름 동작,상
41,P3,S-31,위젯/타이머/활동/일정 연동,나머지 feature,S-27,에이전트(바이브),widget/timer/activity/calendar를 각 .http와 IPC로 연결. 타이머 heartbeat·복구 포함,bubli-api-bind,Y,나머지 동작,상
42,자동화,A-01,스킬: 화면 스캐폴드,반복 화면 골격 자동화,S-12,skill-creator,skill-creator를 띄워서 bubli-screen-scaffold 스킬을 만들어줘. 입력: IA화면명. 출력: 라우트+컴포넌트+스토리+4상태 골격. 제약: 8장 토큰·이모지금지·components/ui재사용. 잘된 예시 2개를 references로,skill-creator,N,.skill 생성,중
43,자동화,A-02,스킬: 유리화,스타일 교체 자동화,S-21,skill-creator,"skill-creator로 bubli-glassify 스킬 제작. 입력: 컴포넌트경로. 동작: 구조 유지하고 v20 토큰·유리질감으로 스타일만 교체, 하드코딩색 제거",skill-creator,N,.skill 생성,중
44,자동화,A-03,스킬: API 바인딩,연동 자동화,S-25,skill-creator,skill-creator로 bubli-api-bind 스킬 제작. 입력: feature명+.http경로. 출력: 타입+react-query 훅+로딩/에러 연결,skill-creator,N,.skill 생성,중
45,자동화,A-04,원클릭 실행 스크립트,dev-all.sh,S-01,에이전트(바이브),scripts/dev-all.sh를 만들어줘: ../bubli-backend에서 docker compose up -d→gradlew bootRun(백그라운드)→8080 헬스대기→npm run tauri:dev. dev-web.sh(마지막 줄 npm run dev)와 Makefile(infra/back/web/app/sb/all)도,-,N,make all 한 줄 실행,중
46,마무리,Z-01,최종 교차검수,규칙·빌드·시연경로,전체,서브에이전트,"전체 diff와 화면을 점검: lint/typecheck/build/cargo check 그린, 이모지0·새색0, 시연경로 무오류를 표로 보고",-,N,전 게이트 통과,중
47,마무리,Z-02,시연 리허설,핵심 흐름 녹화,Z-01,수동+에이전트,로그인→자료업로드→에이전트후보→작업판반영→위젯→로컬폴더검색 흐름을 리허설하고 끊기는 지점을 기록,-,N,시연 1흐름 완주,하
