스토리ID,feature,IA화면,분류,라우트마운트Y/N,4상태Y/N,비고
agent/agent-suggestion-inbox-panel,agent,에이전트 제안함,완료,Y,Y,전역 /app/agent-suggestions와 /work에 마운트된 후보 승인 인박스 4상태 골격
calendar/calendar-page-panel,calendar,일정/캘린더,완료,Y,Y,신규 /app/calendar 라우트에 마운트된 캘린더 화면 4상태 골격
bubbles/bubble-card,bubbles,버블 공통,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/chat-message,domain,도메인 카드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/resource-card,domain,도메인 카드,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/suggestion-card,domain,도메인 카드,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/work-item-card,domain,도메인 카드,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
layout/workspace-topbar,layout,layout,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
ui/button,ui,공통 UI,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
ui/status-badge,ui,공통 UI,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
activity/activity-detection-panel,activity,설정 > 활동 인식 동의,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/agent-draft-suggestion-panel,agent,에이전트 후보/제안함/하루정리,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-job-event-timeline-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-job-retry-policy-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-job-status-panel,agent,에이전트 후보/제안함/하루정리,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-model-call-log-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-schema-validation-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-usage-guard-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/candidate-approval-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/clarification-question-compose-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/clarification-question-draft-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/contract-review-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/daily-summary-evidence-panel,agent,에이전트 후보/제안함/하루정리,완료,N,Y,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
agent/local-agent-memory-panel,agent,에이전트 후보/제안함/하루정리,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
agent/personal-agent-memory-panel,agent,에이전트 후보/제안함/하루정리,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
agent/personal-agent-summary-boundary-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/requirement-candidate-review-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/room-memory-summary-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
auth/auth-panel,auth,로그인,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
auth/auth-refresh-rotation-boundary-panel,auth,로그인,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
auth/auth-session-security-panel,auth,로그인,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
calendar/calendar-conflict-review-panel,calendar,일정/캘린더,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
calendar/google-calendar-sync-panel,calendar,일정/캘린더,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
calendar/schedule-overview-panel,calendar,일정/캘린더,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
communication/chat-cache-recovery-panel,communication,소통 > 친구/채팅/보이스,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
communication/chat-message-composer,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/chat-read-state-panel,communication,소통 > 친구/채팅/보이스,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
communication/chat-room-list-panel,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/chat-sequence-loading-boundary-panel,communication,소통 > 친구/채팅/보이스,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
communication/communication-panel,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/friend-invite-panel,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/friend-request-inbox,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/friend-search-panel,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/realtime-connection-status-panel,communication,소통 > 친구/채팅/보이스,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
communication/room-agent-command,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/tauri-communication-mode-panel,communication,소통 > 친구/채팅/보이스,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
communication/voice-session-panel,communication,소통 > 친구/채팅/보이스,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
communication/voice-token-safety-panel,communication,소통 > 친구/채팅/보이스,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
dashboard/daily-summary-panel,dashboard,대시보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
dashboard/dashboard-card-library-panel,dashboard,대시보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
dashboard/dashboard-overview-panel,dashboard,대시보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
download/desktop-download-handoff-panel,download,공개 사이트 > 다운로드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
managed-folder/managed-folder-change-review,managed-folder,설정/자료보드 > 개인 관리 폴더,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
managed-folder/managed-folder-index-panel,managed-folder,설정/자료보드 > 개인 관리 폴더,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
managed-folder/managed-folder-policy-panel,managed-folder,설정/자료보드 > 개인 관리 폴더,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
managed-folder/managed-folder-s3-handoff-panel,managed-folder,설정/자료보드 > 개인 관리 폴더,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
managed-folder/managed-folder-sync-panel,managed-folder,설정/자료보드 > 개인 관리 폴더,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
managed-folder/storage-sync-policy-panel,managed-folder,설정/자료보드 > 개인 관리 폴더,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
memo/memo-draft-panel,memo,메모/메모 버블,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
memo/memo-list-panel,memo,메모/메모 버블,완료,Y,Y,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
notification/notification-center-panel,notification,알림,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
notification/notification-routing-boundary-panel,notification,알림,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
project-room/contract-extracted-fields-review-panel,project-room,프로젝트룸,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
project-room/member-role-panel,project-room,프로젝트룸,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
project-room/project-reference-info,project-room,프로젝트룸,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
project-room/project-room-board,project-room,프로젝트룸,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
project-room/project-room-create-flow-panel,project-room,프로젝트룸,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
project-room/project-room-document-seed-panel,project-room,프로젝트룸,완료,Y,Y,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
project-room/project-room-event-timeline,project-room,프로젝트룸,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
project-room/project-room-invitation-response-panel,project-room,프로젝트룸,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
project-room/project-room-invite-access-panel,project-room,프로젝트룸,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
project-room/project-room-invite-flow,project-room,프로젝트룸,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
project-room/project-room-leader-handoff-panel,project-room,프로젝트룸,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
project-room/project-room-retention-policy-panel,project-room,프로젝트룸,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
project-room/project-room-switcher-panel,project-room,프로젝트룸,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
public-site/font-strategy-panel,public-site,공개 사이트,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
public-site/hybrid-app-frame,public-site,공개 사이트,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
public-site/public-hero,public-site,공개 사이트,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
public-site/public-home-flow,public-site,공개 사이트,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/contract-review-item-resolution-panel,resources,자료보드,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/document-classification-panel,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/document-mismatch-review-panel,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/personal-resource-quota-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/personal-resource-share-boundary-panel,resources,자료보드,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/related-resource-evidence-panel,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/resource-access-download-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-analysis-approval-panel,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/resource-analysis-cache-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-board,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/resource-comment-thread-panel,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/resource-compare-panel,resources,자료보드,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
resources/resource-delete-recovery-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-download-access-panel,resources,자료보드,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-processing-status-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-scope-filter-panel,resources,자료보드,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
resources/resource-search-command,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/resource-share-approval-panel,resources,자료보드,완료,Y,Y,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/resource-sharing-permission-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-upload-analysis-panel,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/resource-upload-decision-panel,resources,자료보드,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
resources/resource-upload-decision,resources,자료보드,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
resources/resource-upload-queue-panel,resources,자료보드,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-upload-validation-boundary-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-version-decision-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
resources/resource-version-history-panel,resources,자료보드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
resources/storage-provider-policy-panel,resources,자료보드,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/access-boundary-matrix-panel,settings,설정,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/accessibility-keyboard-navigation-panel,settings,설정,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/api-contract-adapter-boundary-panel,settings,설정,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/api-contract-status-panel,settings,설정,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/api-error-handling-boundary-panel,settings,설정,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/data-deletion-request-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/device-data-recovery-map-panel,settings,설정,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/font-strategy-panel,settings,설정,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/language-preferences-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/local-backup-recovery-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/local-sync-outbox-panel,settings,설정,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
settings/notification-preferences-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/privacy-consent-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/settings-local-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/tauri-sync-status-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/theme-contrast-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
settings/user-preferences-panel,settings,설정,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
timer/timer-control-panel,timer,타이머/타이머 버블,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
timer/timer-recovery-boundary-panel,timer,타이머/타이머 버블,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
timer/timer-recovery-panel,timer,타이머/타이머 버블,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
todo/todo-assignee-reflection-panel,todo,TODO,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
todo/todo-detail-panel,todo,TODO,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
todo/todo-list-panel,todo,TODO,완료,Y,Y,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
wbs/wbs-todo-board,wbs,WBS/작업판,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
wbs/wbs-todo-linkage-panel,wbs,WBS/작업판,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
widget/hybrid-app-frame,widget,데스크탑 버블 위젯,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/resource-suggestion-bubble-panel,widget,데스크탑 버블 위젯,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
widget/tauri-widget-layer,widget,데스크탑 버블 위젯,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
widget/widget-background-readability-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-density-mode-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-desktop-preview,widget,데스크탑 버블 위젯,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
widget/widget-font-scale-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-item-state-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-minimized-dock-panel,widget,데스크탑 버블 위젯,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
widget/widget-motion-policy-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-settings-panel,widget,데스크탑 버블 위젯,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
widget/widget-storage-policy-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-transparency-mode-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-usage-rollup-panel,widget,데스크탑 버블 위젯,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
widget/widget-window-controls-panel,widget,데스크탑 버블 위젯,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
dashboard/dashboard-five-card-panel,dashboard,대시보드 구성요소,완료,Y,Y,AtoZ 2.3 보강: 오늘 TODO·마감·확인필요·타이머·룸별요약 5카드 4상태 추가
wbs/wbs-four-view-toggle-panel,wbs,WBS 4보기,완료,Y,Y,AtoZ 2.3 보강: 트리/칸반/타임라인/간트 보기 토글 추가
widget/widget-eight-bubble-set-panel,widget,데스크탑 위젯 8종 버블,완료,Y,Y,AtoZ 2.3 보강: TODO/에이전트/소통/타이머/메모/일정/자료/알림 8종 골격 추가
